"neighborhood","property_type","units","avg_size","distance_to_public_transport","distance_to_schools","distance_to_park","recent_sale_price","year_built","crime_rate"
"Logan Circle","Condominium",14,1216,0.74,0.53,0.26,883270,1966,16.6
"Capitol Hill","Condominium",23,984,0.52,0.21,0.77,1021139,2003,23.4
"Van Ness","Condominium",26,1421,0.14,0.71,0.32,1801156,1953,21
"Foggy Bottom","Townhouse",4,1156,0.55,0.99,0.48,NA,2014,20.1
"Trinidad","Condominium",14,1166,0.68,0.34,0.83,530526,1999,22.5
"Congress Heights","Single Family Home",32,1030,0.42,0.68,0.55,650867,2018,16.4
"Dupont Circle","Condominium",39,938,0.56,0.18,0.68,NA,1981,7.6
"Petworth","Single Family Home",17,1147,0.8,0.69,0.58,771388,2019,23.3
"Mount Pleasant","Single Family Home",25,900,0.41,0.22,0.89,1304020,1977,5.8
"Capitol Hill","Single Family Home",29,881,0.36,0.52,0.99,963047,1982,18.4
"Southwest Waterfront","Condominium",30,1073,0.53,0.63,0.59,592962,1997,11.4
"Shaw","Townhouse",24,839,0.22,0.32,0.94,822098,1971,13.9
"Georgetown","Single Family Home",9,1363,0.43,0.18,0.33,1073264,1950,16.9
"Foggy Bottom","Single Family Home",10,1021,0.13,0.57,0.19,1177698,2017,24.6
"Shaw","Condominium",6,1128,0.76,0.24,0.18,655552,1965,20.2
"Kingman Park","Townhouse",16,1586,0.6,0.79,0.29,1550350,1981,24.4
"Georgetown","Single Family Home",25,1055,0.85,0.79,0.84,1836710,2008,22.7
"Dupont Circle","Townhouse",38,1223,0.13,0.94,0.34,1801619,2019,8.2
"Southwest Waterfront","Condominium",19,1245,0.63,0.27,0.77,914995,1997,7
"Trinidad","Townhouse",38,1179,0.49,0.6,0.35,526906,1994,23.9
"Shaw","Single Family Home",16,1008,0.49,0.99,0.16,1443677,1994,6.9
"Congress Heights","Single Family Home",9,1162,0.32,0.35,0.44,1337338,1988,22.8
"Shaw","Townhouse",11,1434,0.53,0.48,0.42,663962,2016,7.2
"Shaw","Condominium",22,1166,0.71,0.14,0.32,1390339,1986,9.7
"Deanwood","Townhouse",36,1095,0.71,0.97,0.76,1202826,1957,9.8
"Brookland","Condominium",5,1227,0.44,0.39,0.4,1830094,1997,10.7
"Shaw","Townhouse",10,1244,0.27,0.41,0.14,546999,2019,24.2
"Foggy Bottom","Townhouse",8,1146,0.4,0.97,0.61,1123356,2006,22
"U Street Corridor","Townhouse",33,1411,0.77,0.53,0.95,898891,1959,19.8
"Kingman Park","Condominium",25,1234,0.21,0.36,0.68,736491,1991,6.7
"Dupont Circle","Condominium",7,1614,0.21,0.1,0.11,862328,1989,21.8
"Woodley Park","Townhouse",40,1416,0.48,0.54,0.79,667730,1968,8.8
"Van Ness","Townhouse",3,1208,0.53,0.18,0.8,898101,1974,22.7
"Brookland","Single Family Home",6,792,0.26,0.55,0.49,NA,2004,8.6
"Foggy Bottom","Townhouse",10,969,0.87,0.63,0.17,1381425,1997,21.7
"Deanwood","Single Family Home",9,1542,0.71,0.71,0.74,1659236,1986,5.8
"Capitol Hill","Single Family Home",9,1216,0.55,0.16,0.14,1434529,1980,17.2
"Brookland","Condominium",30,1181,0.4,0.52,0.53,1633241,2006,15.1
"U Street Corridor","Condominium",33,1060,0.2,0.47,0.15,652481,1974,18.7
"Adams Morgan","Townhouse",39,1051,0.85,0.16,0.39,1027603,2000,7.9
"Shaw","Townhouse",5,768,0.63,0.17,0.76,1738041,1955,5.6
"Mount Pleasant","Single Family Home",21,1427,0.73,0.5,0.64,1669560,2005,17.3
"Anacostia","Townhouse",7,1341,0.21,0.3,0.23,914039,1997,10.4
"Georgetown","Condominium",24,1016,0.3,0.58,0.86,965980,1961,10.1
"Deanwood","Condominium",26,1289,0.25,0.72,0.68,1811264,1967,17.4
"U Street Corridor","Single Family Home",31,1077,0.61,0.33,0.25,1207297,2005,22.2
"Adams Morgan","Townhouse",19,906,0.1,0.17,0.99,1202075,1985,7.6
"Shaw","Condominium",24,1110,0.72,0.45,0.75,975346,1951,19.3
"U Street Corridor","Single Family Home",28,1443,0.21,0.54,0.1,782387,1985,24.9
"Brookland","Condominium",6,1363,0.47,0.53,0.21,705828,2004,9.6
"U Street Corridor","Condominium",27,1010,0.15,0.15,0.71,891448,2016,12.4
"Dupont Circle","Single Family Home",3,1309,0.37,0.96,0.25,1376008,1962,11.9
"Van Ness","Townhouse",15,1344,0.22,0.54,0.88,NA,2004,7
"Anacostia","Single Family Home",29,881,0.86,0.8,0.63,897199,1968,11.5
"Woodley Park","Townhouse",19,1350,0.56,0.6,0.81,NA,1971,5.2
"Trinidad","Single Family Home",20,1374,0.79,0.67,0.85,1326110,1958,15.3
"Petworth","Single Family Home",27,1697,0.16,0.45,0.72,1000177,1967,20.1
"Congress Heights","Single Family Home",29,1217,0.35,0.15,0.43,764142,1971,21.7
"Van Ness","Single Family Home",31,1415,0.12,0.5,0.84,1859768,1962,14
"Columbia Heights","Single Family Home",16,1031,0.73,0.62,0.83,1492232,1985,13.1
"Shaw","Single Family Home",15,984,0.74,0.13,0.41,983555,1985,5.8
"Deanwood","Single Family Home",39,1454,0.26,0.86,0.64,875482,1971,5.2
"Petworth","Single Family Home",39,1555,0.84,0.11,0.57,1892598,1990,6
"Petworth","Townhouse",19,1050,0.51,0.14,0.26,1578866,1970,14.2
"Columbia Heights","Single Family Home",29,1201,0.36,0.88,0.93,1578512,2019,6.4
"Southwest Waterfront","Townhouse",38,1001,0.75,0.11,0.26,NA,1963,11.7
"Woodley Park","Single Family Home",33,1004,0.7,0.77,0.77,827495,1964,24.7
"Capitol Hill","Townhouse",27,866,0.48,0.57,0.11,NA,1987,7.3
"U Street Corridor","Townhouse",19,1457,0.53,0.36,0.13,511744,1950,18
"Deanwood","Single Family Home",7,973,0.75,0.51,0.23,NA,1980,7.9
"Dupont Circle","Townhouse",8,1615,0.38,0.45,0.38,NA,2011,8.9
"Southwest Waterfront","Townhouse",27,1316,0.41,0.59,0.37,1922362,1990,22.4
"Petworth","Townhouse",24,1322,0.76,0.31,0.12,673937,2009,9
"Georgetown","Condominium",26,1250,0.12,0.1,0.9,1257740,2008,23
"Columbia Heights","Townhouse",35,1329,0.47,0.71,0.54,1387949,1961,18.3
"Van Ness","Single Family Home",12,1006,0.39,0.99,0.16,791443,1958,8.6
"Brookland","Townhouse",26,827,0.53,0.21,0.12,1858987,1970,7.2
"Woodley Park","Townhouse",33,1602,0.69,0.52,0.49,1639460,1985,11.7
"Dupont Circle","Townhouse",14,1014,0.36,0.72,0.64,1881863,1978,12.3
"Adams Morgan","Condominium",35,1225,0.59,0.69,0.94,782473,2009,22.9
"Deanwood","Townhouse",39,1602,0.4,0.76,0.32,1021187,1999,16
"Brookland","Townhouse",9,1038,0.21,0.49,0.41,1104627,2008,17.5
"Mount Pleasant","Single Family Home",38,1267,0.13,0.13,0.53,1792014,1959,19.3
"Southwest Waterfront","Single Family Home",6,1067,0.32,0.59,0.19,1802589,1988,20.5
"Foggy Bottom","Single Family Home",6,1116,0.42,0.6,0.61,1559301,1964,10.3
"Southwest Waterfront","Single Family Home",12,1218,0.88,0.57,0.52,791865,1977,14.4
"Congress Heights","Single Family Home",8,1217,0.53,0.92,0.23,757775,1967,12.4
"Trinidad","Condominium",25,1455,0.17,0.67,0.91,NA,2012,18.9
"Trinidad","Single Family Home",19,1000,0.44,0.64,0.35,708011,1970,9.3
"Southwest Waterfront","Condominium",30,1292,0.19,0.58,0.12,548243,2002,9.5
"Shaw","Condominium",7,1261,0.78,0.58,0.74,560346,1977,18.5
"Van Ness","Single Family Home",18,1143,0.47,0.48,0.14,1599486,2016,24.1
"Shaw","Townhouse",14,1208,0.36,0.87,0.32,1380129,1961,22.3
"Congress Heights","Townhouse",6,859,0.58,0.96,0.31,1941237,2006,21
"Woodley Park","Condominium",37,1065,0.42,0.29,0.6,NA,1994,17.2
"Brookland","Townhouse",30,957,0.74,0.26,0.86,1300737,2013,6.2
"Anacostia","Townhouse",36,NA,0.28,0.76,0.62,1120968,1993,16.7
"Van Ness","Townhouse",15,1100,0.74,0.89,0.58,783333,2017,20.4
"Shaw","Condominium",21,1142,0.45,0.71,0.26,929107,1968,8.6
"Columbia Heights","Condominium",8,1364,0.11,0.23,0.41,1639747,1952,11.6
"Petworth","Condominium",12,1195,0.38,0.83,0.13,NA,1964,18.6
"Brookland","Townhouse",35,1279,0.11,0.27,0.68,NA,1980,15.9
"U Street Corridor","Single Family Home",35,1334,0.35,0.83,0.6,1298948,1954,6
"Congress Heights","Condominium",19,1317,0.61,0.11,0.49,1805692,1986,16
"Shaw","Single Family Home",36,1134,0.33,0.87,0.31,NA,1978,23.5
"Dupont Circle","Condominium",30,1088,0.28,0.17,0.33,1014482,1979,17
"U Street Corridor","Townhouse",27,1185,0.79,0.82,0.65,863850,2012,13.4
"Shaw","Condominium",31,1364,0.39,0.17,0.34,1879898,1951,20.3
"Congress Heights","Condominium",37,1337,0.4,0.79,0.13,686888,2001,9.2
"Trinidad","Single Family Home",40,1477,0.36,0.46,0.5,1039753,1972,17.9
"Kingman Park","Single Family Home",31,1517,0.67,0.3,0.87,590505,1997,19.9
"Van Ness","Single Family Home",11,1227,0.66,0.63,0.87,1980727,2001,8.1
"Adams Morgan","Townhouse",21,1056,0.12,0.81,0.11,1377693,1951,19.4
"Capitol Hill","Single Family Home",20,979,0.37,0.38,0.48,888851,2010,9.1
"Adams Morgan","Townhouse",15,1277,0.25,0.2,0.46,773260,1992,14
"Shaw","Townhouse",5,1301,0.86,0.5,0.15,1677839,1964,16.1
"Petworth","Condominium",11,1343,0.78,0.16,0.71,901523,1954,24.9
"Petworth","Condominium",25,1160,0.15,0.57,0.39,605959,1993,24.7
"Georgetown","Single Family Home",19,1110,0.59,0.18,0.49,915272,1997,23.5
"Anacostia","Condominium",30,1084,0.64,0.77,0.25,NA,1993,19.5
"Dupont Circle","Townhouse",22,1170,0.25,0.71,0.78,1187182,1950,16.1
"Foggy Bottom","Single Family Home",27,1231,0.84,0.65,0.56,1442877,1972,13.1
"Deanwood","Single Family Home",17,1291,0.42,0.53,0.18,1434332,1956,6
"Mount Pleasant","Condominium",25,1069,0.12,0.89,0.79,1214288,1977,22.8
"Georgetown","Townhouse",15,1532,0.46,0.4,0.79,1173119,2003,6.3
"Kingman Park","Townhouse",5,1253,0.87,0.22,0.2,1406495,2004,5.9
"Logan Circle","Condominium",17,1412,0.73,0.7,0.14,1817090,1987,23.4
"Petworth","Townhouse",37,1267,0.81,0.24,0.56,779679,2008,20.2
"U Street Corridor","Townhouse",36,1468,0.79,0.19,0.7,1533612,1979,7.2
"Southwest Waterfront","Townhouse",21,1264,0.83,0.91,0.2,NA,1956,17.2
"Southwest Waterfront","Townhouse",19,1443,0.5,0.61,0.22,1407990,1996,13
"Anacostia","Townhouse",37,1233,0.4,0.23,0.52,1088643,1985,7
"Capitol Hill","Townhouse",23,1097,0.31,0.84,0.31,1180219,2003,13.7
"Dupont Circle","Townhouse",15,1388,0.42,0.42,1,1861919,2000,12.1
"Southwest Waterfront","Single Family Home",10,1237,0.61,0.42,0.87,1025915,2016,16.3
"U Street Corridor","Single Family Home",28,1082,0.11,0.27,0.48,625590,1989,18.1
"Foggy Bottom","Condominium",7,1141,0.83,0.49,0.36,1424259,1966,13.4
"Anacostia","Townhouse",21,1052,0.83,0.77,0.59,778267,1959,18
"Capitol Hill","Townhouse",16,1110,0.81,0.5,0.42,1406005,1992,17.8
"Shaw","Single Family Home",28,1095,0.13,0.93,0.13,1736298,1972,24.5
"Logan Circle","Condominium",19,839,0.21,0.58,0.42,1015356,1971,10.5
"Brookland","Condominium",14,1140,0.6,0.15,0.7,1962595,1957,15
"Logan Circle","Single Family Home",7,1029,0.87,0.73,0.3,1861293,1979,6
"Woodley Park","Condominium",32,1283,0.22,0.32,0.32,1669264,1959,5.4
"U Street Corridor","Condominium",32,773,0.23,0.29,0.83,1272593,1966,14.1
"Columbia Heights","Single Family Home",38,1323,0.72,0.81,0.33,1550584,1971,6.6
"Kingman Park","Single Family Home",22,1568,0.79,0.85,0.77,NA,1969,11.6
"Logan Circle","Townhouse",34,843,0.74,0.28,0.19,1568663,1955,17.7
"Congress Heights","Condominium",22,1100,0.69,0.21,0.23,1746898,1960,17.4
"Brookland","Single Family Home",35,1062,0.22,0.3,0.15,NA,1992,21
"Shaw","Townhouse",24,1397,0.12,0.96,0.79,1735788,1984,23.3
"Adams Morgan","Single Family Home",23,1388,0.71,0.13,0.62,813682,1950,8
"Southwest Waterfront","Condominium",15,1257,0.76,0.32,0.25,873318,1973,23.6
"Georgetown","Condominium",27,1559,0.54,0.53,0.63,1753390,1988,5
"Adams Morgan","Townhouse",4,1383,0.31,0.32,0.72,1372158,2017,12.4
"Columbia Heights","Single Family Home",17,983,0.4,0.36,0.15,893250,1969,6.9
"Shaw","Townhouse",38,1297,0.3,0.49,0.56,996211,2014,9.5
"Brookland","Townhouse",40,1349,0.62,0.43,0.62,1459341,2014,6.1
"Congress Heights","Single Family Home",38,1480,0.71,0.61,0.68,890380,2002,10.2
"Adams Morgan","Single Family Home",19,1233,0.33,0.99,0.29,1902838,2018,12.7
"U Street Corridor","Townhouse",23,1192,0.52,0.91,0.81,NA,1954,6.9
"Deanwood","Single Family Home",10,1232,0.45,0.14,0.63,549416,1980,9.8
"Adams Morgan","Condominium",33,807,0.35,0.49,0.42,NA,1990,6.1
"Kingman Park","Condominium",13,1300,0.13,0.71,0.93,742688,1954,18.7
"Woodley Park","Townhouse",13,1051,0.5,0.46,0.47,1394389,1973,17
"Trinidad","Condominium",21,1239,0.3,0.14,0.49,815643,1976,13.2
"Anacostia","Condominium",32,1089,0.71,0.24,0.13,1534758,1976,22.5
"Anacostia","Single Family Home",26,1180,0.68,0.52,0.51,NA,1990,19.6
"Foggy Bottom","Condominium",29,1015,0.23,0.16,0.73,1557251,2011,16.4
"Van Ness","Condominium",37,1167,0.8,0.98,0.4,NA,1956,18
"Woodley Park","Condominium",11,906,0.18,0.93,0.67,1424101,1955,12.1
"Woodley Park","Townhouse",12,1385,0.35,1,0.68,1561104,1980,24.9
"Anacostia","Condominium",37,1263,0.55,0.44,0.79,1764802,1950,14.9
"Logan Circle","Townhouse",19,830,0.18,0.19,0.74,529841,2019,18.5
"Anacostia","Townhouse",29,1004,0.7,0.48,0.45,564779,1950,21.8
"Georgetown","Condominium",17,942,0.15,0.21,0.1,723496,1972,15
"Brookland","Condominium",3,920,0.24,0.98,0.65,1204824,2001,5.2
"Georgetown","Single Family Home",11,970,0.17,0.62,0.56,1048090,2011,19
"Georgetown","Condominium",40,1055,0.87,0.54,0.53,1185097,1990,19.8
"Brookland","Condominium",15,1150,0.34,0.68,0.27,1447998,1998,10.6
"Van Ness","Single Family Home",14,1288,0.77,0.81,0.59,1216673,2017,18.7
"Adams Morgan","Condominium",30,1071,0.73,0.73,0.79,1646270,1962,9.8
"Foggy Bottom","Condominium",36,1419,0.32,0.32,0.55,890494,2020,13.1
"Georgetown","Single Family Home",9,1250,0.17,0.99,0.64,1387054,1972,5.8
"Trinidad","Townhouse",31,1294,0.82,0.29,0.48,613982,1959,10.7
"Van Ness","Single Family Home",21,1193,0.31,0.25,0.99,1787102,1970,19.9
"Foggy Bottom","Single Family Home",31,1303,0.5,0.54,0.32,908502,1961,5.8
"Mount Pleasant","Single Family Home",28,1145,0.67,0.53,0.75,1116458,2002,11.9
"Columbia Heights","Townhouse",24,855,0.65,0.29,0.26,719942,1992,7.1
"Congress Heights","Condominium",13,1261,0.24,0.92,0.77,1645597,1979,12.1
"Petworth","Condominium",14,1225,0.27,0.51,0.97,1597627,1979,6.7
"Mount Pleasant","Condominium",20,1163,0.1,0.98,0.29,1522739,1955,14.5
"Dupont Circle","Townhouse",7,988,0.63,0.27,0.99,1450767,1980,23.1
"Congress Heights","Single Family Home",23,1113,0.57,0.54,0.61,1133831,2015,12
"Southwest Waterfront","Condominium",14,1318,0.84,0.89,0.15,1675830,2007,20.9
"Southwest Waterfront","Condominium",12,1264,0.13,0.88,0.34,NA,2019,17.6
"Petworth","Condominium",30,1340,0.84,0.78,0.24,1828180,1965,8.8
"Woodley Park","Townhouse",28,907,0.23,0.95,0.5,1270023,2005,15.7
"Congress Heights","Townhouse",23,1490,0.21,0.36,0.6,1946450,1990,6.3
"Georgetown","Condominium",10,1235,0.67,0.74,0.92,1996792,1955,21.6
"Logan Circle","Townhouse",19,1332,0.58,0.26,0.95,629429,1994,10.9
"Congress Heights","Single Family Home",3,1336,0.16,0.53,0.28,545355,1971,9
"Capitol Hill","Single Family Home",40,1252,0.54,0.24,0.46,1773834,1954,7.8
"Anacostia","Single Family Home",30,1165,0.43,0.73,0.38,NA,1955,19
"Petworth","Single Family Home",40,1135,0.11,0.57,0.16,1535494,1997,20
"Congress Heights","Condominium",33,995,0.74,0.23,0.31,946621,2016,18.6
"Shaw","Townhouse",13,1032,0.1,0.21,0.72,1385410,1977,13.3
"Georgetown","Single Family Home",24,1456,0.54,0.11,0.22,592649,1963,8.8
"Brookland","Condominium",16,1404,0.59,0.61,0.67,1841659,1969,24.2
"Deanwood","Condominium",28,917,0.35,0.66,0.73,NA,2000,21.4
"Deanwood","Single Family Home",29,1307,0.58,0.57,0.38,NA,2016,22
"Van Ness","Townhouse",29,1002,0.68,0.9,0.2,1172473,1964,13.4
"Congress Heights","Single Family Home",25,1156,0.53,0.71,0.84,915996,2004,6.8
"Logan Circle","Condominium",36,1313,0.18,0.85,0.93,1447351,1989,12.5
"Mount Pleasant","Single Family Home",13,1243,0.32,0.89,0.75,788363,1951,18.4
"Deanwood","Condominium",35,1313,0.89,0.95,0.61,928367,2019,13.6
"Trinidad","Single Family Home",8,1283,0.11,0.34,0.6,1030157,2013,7.8
"Mount Pleasant","Single Family Home",19,1173,0.79,0.39,0.27,1162431,1983,21.3
"Georgetown","Townhouse",27,920,0.5,0.48,0.23,960543,1962,22.6
"Van Ness","Condominium",27,733,0.41,0.56,0.27,669241,1981,15.8
"Logan Circle","Condominium",3,1151,0.23,0.26,0.38,1290795,1980,19.9
"Congress Heights","Single Family Home",36,1195,0.35,0.15,0.83,1633743,1956,22
"Logan Circle","Condominium",7,899,0.27,0.64,0.28,1908338,2014,23.7
"Brookland","Townhouse",5,1137,0.86,0.67,0.82,1332671,2000,9.1
"Southwest Waterfront","Single Family Home",16,1083,0.47,0.92,0.36,NA,1999,16.5
"Van Ness","Single Family Home",26,1306,0.34,1,0.19,NA,1989,5.5
"Adams Morgan","Condominium",32,1266,0.12,0.49,0.1,NA,1992,18.3
"Anacostia","Single Family Home",15,1087,0.46,0.2,0.1,1508717,2009,22.9
"Georgetown","Single Family Home",29,1167,0.41,0.45,0.13,1506022,1979,10
"Dupont Circle","Single Family Home",26,1407,0.22,0.73,0.52,1281560,1979,21.3
"Southwest Waterfront","Townhouse",35,1080,0.88,0.38,0.21,1262933,1962,18.5
"Georgetown","Townhouse",17,1033,0.33,0.62,0.81,861612,1993,8.2
"Mount Pleasant","Condominium",26,1204,0.7,0.52,0.9,516279,2006,7.9
"U Street Corridor","Townhouse",29,1118,0.2,0.14,0.22,NA,1959,9.6
"Congress Heights","Townhouse",8,1110,0.85,0.98,0.8,1033891,2009,12.6
"Shaw","Single Family Home",33,1297,0.49,0.26,0.92,1276570,1990,25
"Southwest Waterfront","Condominium",32,1479,0.46,0.12,0.67,1906073,1974,16.1
"Adams Morgan","Single Family Home",10,1264,0.55,0.86,0.57,NA,1990,10.2
"Dupont Circle","Townhouse",20,1175,0.5,0.3,0.56,1489240,1951,12.7
"Foggy Bottom","Condominium",14,1271,0.69,0.97,0.12,621674,1982,10
"Petworth","Condominium",11,1186,0.73,0.54,0.88,NA,1991,19.3
"Trinidad","Single Family Home",39,1237,0.68,0.37,0.71,1147425,1973,15.1
"Adams Morgan","Single Family Home",19,1385,0.81,0.57,0.56,951298,1980,10.7
"Mount Pleasant","Condominium",37,1269,0.55,0.96,0.15,601513,2018,24.8
"Logan Circle","Single Family Home",27,1676,0.3,0.23,0.53,1927208,1964,14.1
"Dupont Circle","Townhouse",12,1459,0.32,0.96,0.31,1254017,1986,12.5
"Dupont Circle","Single Family Home",19,1352,0.41,0.67,0.69,1781357,2013,5
"Dupont Circle","Condominium",40,1353,0.54,0.22,0.35,1843303,1955,24
"Capitol Hill","Townhouse",4,1094,0.54,0.74,0.64,1611828,1960,15.1
"Foggy Bottom","Townhouse",16,1396,0.6,0.17,0.85,1559068,1993,13
"Trinidad","Townhouse",18,1545,0.26,0.58,0.7,1266015,2006,14.6
"Anacostia","Single Family Home",35,1203,0.11,0.45,0.4,1805510,1991,5.6
"Adams Morgan","Single Family Home",9,1276,0.32,0.2,0.86,NA,2012,5.2
"U Street Corridor","Condominium",28,1037,0.33,0.63,0.29,586189,1997,24.7
"Brookland","Single Family Home",16,1094,0.43,0.72,0.99,1241939,1987,6.1
"Brookland","Condominium",27,1500,0.72,0.72,0.7,1541284,2004,21
"Kingman Park","Single Family Home",33,1555,0.67,0.47,0.35,1503946,1952,6.6
"Foggy Bottom","Single Family Home",38,908,0.48,0.27,0.88,877062,1956,6
"Congress Heights","Townhouse",32,1228,0.35,0.54,0.38,1200606,1955,19.7
"Foggy Bottom","Condominium",16,1071,0.2,0.36,0.92,1368605,1971,21.6
"Shaw","Townhouse",40,1137,0.25,0.54,0.32,1452417,2005,16
"Shaw","Condominium",8,1177,0.79,0.43,0.34,1759009,1973,21.6
"Adams Morgan","Townhouse",28,1015,0.1,0.54,0.51,NA,1952,17.1
"Brookland","Condominium",34,1224,0.82,0.25,0.53,1623307,1975,12.3
"Columbia Heights","Townhouse",13,1318,0.59,0.96,0.58,1964170,1960,17.1
"Mount Pleasant","Single Family Home",33,1293,0.75,0.28,0.59,1376825,2010,7.6
"Brookland","Condominium",17,1511,0.3,0.27,0.36,1602078,1971,16.3
"Van Ness","Single Family Home",13,915,0.12,0.59,0.9,1108480,2009,12
"U Street Corridor","Townhouse",9,1042,0.79,0.52,0.69,1356369,2005,14.4
"Brookland","Condominium",11,1152,0.42,0.86,0.88,891116,1982,23.2
"Adams Morgan","Townhouse",30,1340,0.64,0.48,0.69,1144737,2002,20
"Adams Morgan","Single Family Home",20,1186,0.42,0.3,0.26,1978213,2008,18.7
"Mount Pleasant","Single Family Home",34,904,0.64,0.64,0.11,1027152,1990,18
"Shaw","Condominium",23,1367,0.18,0.59,0.48,980599,1950,22.6
"Brookland","Condominium",10,1197,0.55,0.6,0.41,1070065,2006,17.6
"Dupont Circle","Single Family Home",14,1196,0.85,0.75,0.11,958256,1982,7.6
"Dupont Circle","Condominium",33,858,0.23,0.17,0.43,1439118,2013,22.4
"Congress Heights","Townhouse",28,1169,0.14,0.25,0.15,1956042,2005,22.6
"Woodley Park","Townhouse",31,1163,0.42,0.51,0.59,507141,1961,17.3
"Columbia Heights","Condominium",18,1447,0.57,0.76,0.61,1639010,1957,9.9
"Capitol Hill","Townhouse",12,1674,0.24,0.96,0.43,787649,1962,11.3
"Brookland","Townhouse",7,1267,0.29,0.85,0.75,1070867,1990,14
"Congress Heights","Condominium",18,1134,0.38,0.86,0.57,1101439,1981,11
"Anacostia","Single Family Home",26,NA,0.73,0.87,0.12,832959,1967,24.2
"Van Ness","Single Family Home",34,1437,0.87,0.32,0.37,800269,1997,12.7
"Foggy Bottom","Condominium",31,1227,0.82,0.48,0.33,1095172,2002,17.4
"Anacostia","Single Family Home",13,1371,0.29,0.49,0.54,1933095,2016,8
"Georgetown","Townhouse",9,1122,0.52,0.81,0.95,NA,2008,11.6
"Shaw","Townhouse",9,1225,0.19,0.8,0.8,1129682,1989,7.5
"Brookland","Townhouse",20,1385,0.42,0.12,0.55,839353,2012,13
"Capitol Hill","Townhouse",21,1087,0.74,0.43,0.22,1822907,1972,18.2
"U Street Corridor","Condominium",39,1096,0.5,0.88,0.28,1694633,1996,19.3
"Deanwood","Condominium",39,1166,0.39,0.17,0.36,1433637,1950,14.3
"Woodley Park","Townhouse",4,1322,0.36,0.71,0.19,1933548,1982,10.5
"Congress Heights","Single Family Home",15,1293,0.36,0.95,0.34,1905612,1981,22.5
"Van Ness","Condominium",13,986,0.34,0.54,0.48,574695,1996,23.2
"Congress Heights","Townhouse",10,846,0.67,0.53,0.86,1843289,1975,18.2
"Petworth","Townhouse",13,1307,0.22,0.89,0.86,1851288,2003,11.8
"Anacostia","Townhouse",37,1353,0.13,0.75,0.77,1346189,1998,10.9
"Trinidad","Townhouse",12,1140,0.78,0.71,0.7,1732524,1983,21.1
"Brookland","Townhouse",39,1437,0.11,0.44,0.47,1213675,1993,8.8
"Georgetown","Single Family Home",35,1224,0.8,0.21,0.5,1936992,2012,20.1
"Southwest Waterfront","Condominium",38,1035,0.49,0.1,0.65,NA,1988,18.2
"Petworth","Townhouse",25,1210,0.45,0.24,0.18,1248036,1957,10.8
"Southwest Waterfront","Townhouse",16,1394,0.61,0.77,0.76,819631,1961,18.5
"Trinidad","Condominium",19,1118,0.51,0.57,0.41,1758790,2012,12.7
"Congress Heights","Single Family Home",20,1097,0.44,0.79,0.25,1771826,1992,21.9
"Congress Heights","Condominium",3,1002,0.24,0.36,0.94,557804,2014,23.1
"Foggy Bottom","Townhouse",7,1330,0.11,0.77,0.25,500411,1969,15.9
"Mount Pleasant","Single Family Home",31,1240,0.49,0.19,0.23,1738463,2015,24.9
"U Street Corridor","Single Family Home",39,1148,0.27,0.39,0.67,1337009,2003,9.9
"Shaw","Single Family Home",37,1197,0.69,0.65,0.86,NA,1959,23.6
"Shaw","Townhouse",38,1110,0.68,1,0.71,1402960,1996,15.5
"Kingman Park","Townhouse",24,1047,0.41,0.98,0.44,629465,1965,20
"Kingman Park","Condominium",6,1114,0.87,0.86,0.45,NA,1990,23.7
"Congress Heights","Townhouse",9,1027,0.45,0.91,0.44,1799386,1971,20.7
"Southwest Waterfront","Townhouse",15,1103,0.38,0.16,0.32,1405402,1989,19.7
"Logan Circle","Townhouse",10,1105,0.14,0.98,0.6,1092686,2009,20.3
"Anacostia","Townhouse",13,1082,0.53,0.97,0.63,1036271,1985,16.7
"Petworth","Townhouse",15,1404,0.77,0.57,0.86,1856493,1991,23.3
"Deanwood","Condominium",9,1212,0.86,0.83,0.56,1198997,2016,10.8
"Southwest Waterfront","Condominium",17,1168,0.87,0.59,0.47,1900368,1959,11.5
"Foggy Bottom","Townhouse",19,1082,0.59,0.83,0.85,774486,1952,13.3
"Woodley Park","Single Family Home",34,976,0.38,0.39,0.13,1586716,1967,14.2
"Logan Circle","Townhouse",11,1428,0.71,0.79,0.61,755473,2014,15
"Anacostia","Townhouse",25,1361,0.63,0.57,0.93,710379,1960,19.5
"Dupont Circle","Townhouse",23,1148,0.57,0.24,0.25,1170507,2013,5.6
"Kingman Park","Townhouse",5,1397,0.82,0.14,0.76,902080,1990,23.3
"Kingman Park","Condominium",25,1005,0.33,0.35,0.5,922898,1964,6
"Adams Morgan","Single Family Home",16,1342,0.16,0.87,0.85,859504,1955,7.8
"Petworth","Townhouse",9,892,0.84,0.42,0.67,NA,1963,9.9
"Brookland","Single Family Home",10,1474,0.65,0.84,0.56,1951455,1956,21.2
"Southwest Waterfront","Condominium",37,1092,0.87,0.98,0.97,1257941,1989,12.2
"Adams Morgan","Single Family Home",31,1561,0.44,0.2,0.72,1110866,1991,7.7
"Logan Circle","Townhouse",15,1271,0.62,0.42,0.28,522199,2012,19.1
"Dupont Circle","Condominium",32,1437,0.53,0.55,0.21,NA,1999,19
"Shaw","Townhouse",36,1561,0.65,0.25,0.52,NA,1972,13
"Georgetown","Condominium",37,1288,0.13,0.2,0.27,1151841,1984,15.9
"Logan Circle","Single Family Home",27,1278,0.3,0.86,0.71,1589024,1990,6.5
